config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
atac_WIDE	0.841 [0.819, 0.863]	0.600 [0.564, 0.637]	0.239 [0.205, 0.273]	0.017 [0.012, 0.023]	0.020 [0.006, 0.033]	0.042 [0.039, 0.046]	0.119 [0.109, 0.129]	0.607 [0.599, 0.615]
sequence_narrow	0.513 [0.473, 0.553]	0.397 [0.344, 0.451]	0.133 [0.049, 0.218]	-0.427 [-0.484, -0.370]	-0.182 [-0.248, -0.116]	0.057 [0.053, 0.061]	0.150 [0.139, 0.161]	0.604 [0.597, 0.611]
sequence_WIDE	0.555 [0.519, 0.592]	0.391 [0.340, 0.442]	0.154 [0.080, 0.228]	-0.382 [-0.433, -0.331]	-0.188 [-0.239, -0.136]	0.057 [0.054, 0.061]	0.151 [0.141, 0.161]	0.604 [0.596, 0.612]
multimodal_narrow	0.878 [0.859, 0.898]	0.699 [0.695, 0.703]	0.511 [0.470, 0.552]	0.081 [0.067, 0.094]	0.147 [0.101, 0.193]	0.065 [0.061, 0.070]	0.176 [0.162, 0.189]	0.602 [0.594, 0.609]
multimodal_WIDE	0.887 [0.868, 0.905]	0.727 [0.712, 0.741]	0.559 [0.525, 0.593]	0.096 [0.084, 0.108]	0.187 [0.154, 0.219]	0.066 [0.061, 0.070]	0.177 [0.163, 0.190]	0.601 [0.594, 0.609]
atac_narrow	0.831 [0.809, 0.853]	0.584 [0.540, 0.627]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.041 [0.038, 0.045]	0.116 [0.106, 0.126]	0.607 [0.600, 0.615]
