config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
seq_atac_clw10	0.835 [0.737, 0.933]	0.875 [0.861, 0.889]	0.368 [0.234, 0.503]	0.042 [0.023, 0.060]	0.108 [0.080, 0.135]	0.486 [0.453, 0.520]	0.770 [0.753, 0.787]	0.363 [0.345, 0.380]
atac_only_clw10	0.810 [0.720, 0.901]	0.811 [0.784, 0.838]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.261 [0.235, 0.287]	0.462 [0.448, 0.477]	0.441 [0.425, 0.456]
