config	residual_pearson	partial_r	r_out_vs_atac	overall_pearson	incremental_r2	overall_pearson_topq	incremental_r2_topq
sequence5p	0.133 [0.090, 0.176]	0.178 [0.132, 0.224]	0.486 [0.460, 0.512]	0.475 [0.441, 0.509]	-0.375 [-0.415, -0.335]	0.221 [0.191, 0.252]	-0.195 [-0.225, -0.165]
multimodal5p	0.449 [0.414, 0.485]	0.450 [0.415, 0.486]	0.921 [0.914, 0.928]	0.825 [0.812, 0.838]	0.079 [0.064, 0.095]	0.580 [0.566, 0.595]	0.092 [0.071, 0.113]
residual_sequence	0.372 [0.334, 0.410]	0.372 [0.334, 0.409]	-0.025 [-0.057, 0.007]	0.810 [0.795, 0.826]	0.055 [0.043, 0.066]	0.559 [0.541, 0.577]	0.068 [0.043, 0.093]
residual_multimodal	0.414 [0.378, 0.451]	0.415 [0.378, 0.452]	0.020 [-0.045, 0.085]	0.819 [0.807, 0.831]	0.069 [0.056, 0.083]	0.567 [0.549, 0.586]	0.077 [0.059, 0.096]
residual_atac	0.010 [-0.019, 0.040]	0.005 [-0.022, 0.031]	-0.319 [-1.168, 0.530]	0.775 [0.760, 0.791]	0.000 [-0.000, 0.000]	0.495 [0.462, 0.527]	0.001 [-0.000, 0.001]
