config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
real_dnase	0.686 [0.667, 0.705]	0.474 [0.445, 0.503]	0.238 [0.164, 0.313]	-0.220 [-0.256, -0.184]	-0.144 [-0.174, -0.113]	0.034 [0.030, 0.038]	0.092 [0.078, 0.106]	0.608 [0.599, 0.616]
dnase_smooth250	0.647 [0.609, 0.684]	0.309 [0.164, 0.455]	0.191 [0.133, 0.249]	-0.272 [-0.316, -0.229]	-0.262 [-0.356, -0.167]	0.031 [0.028, 0.033]	0.081 [0.071, 0.091]	0.608 [0.600, 0.617]
converted_pow	0.733 [0.698, 0.768]	0.484 [0.420, 0.547]	0.140 [0.103, 0.177]	-0.154 [-0.190, -0.117]	-0.132 [-0.212, -0.052]	0.038 [0.034, 0.042]	0.108 [0.095, 0.121]	0.606 [0.598, 0.614]
atac_input	0.831 [0.802, 0.860]	0.607 [0.572, 0.641]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.045 [0.041, 0.049]	0.126 [0.113, 0.139]	0.606 [0.598, 0.614]
