arm_a	arm_b	auprc_a	auprc_b	delta	ci_lo	ci_hi	sign_kept_frac	sign_kept_pct	n_pairs	n_regulated	n_boot
p300pred_gm12878_multimodal_accnorm.ABC.Score	p300pred_gm12878_multimodal.ABC.Score	0.47672	0.477101	-0.000381	-0.006409	0.004797	0.522	52.2	10342	466	2000
p300pred_k562_multimodal_accnorm.ABC.Score	p300pred_k562_multimodal.ABC.Score	0.517109	0.522878	-0.00577	-0.00847	-0.002937	1.0	100.0	10342	466	2000
p300only_gm12878_multimodal_accnorm.ABC.Score	p300only_gm12878_multimodal.ABC.Score	0.471539	0.473076	-0.001536	-0.012149	0.008896	0.6065	60.65	10342	466	2000
p300only_k562_multimodal_accnorm.ABC.Score	p300only_k562_multimodal.ABC.Score	0.510514	0.513197	-0.002684	-0.01221	0.006728	0.7215	72.15	10342	466	2000
pred_gm12878_residual.ABC.Score	pred_gm12878_multimodal.ABC.Score	0.462119	0.4632	-0.001081	-0.011389	0.009646	0.593	59.3	10342	466	2000
pred_k562_residual.ABC.Score	pred_k562_multimodal.ABC.Score	0.479517	0.480142	-0.000625	-0.009275	0.008576	0.5495	54.95	10342	466	2000
p300pred_gm12878_multimodal_accnorm.ABC.Score	K562_ATAC_only.ABC.Score	0.47672	0.468009	0.008712	-0.004844	0.021936	0.891	89.1	10342	466	2000
pred_gm12878_residual.ABC.Score	K562_ATAC_only.ABC.Score	0.462119	0.468009	-0.005889	-0.02148	0.009534	0.7815	78.15	10342	466	2000
