arm_a	arm_b	auprc_a	auprc_b	delta	ci_lo	ci_hi	sign_kept_frac	sign_kept_pct	n_pairs	n_regulated	n_boot
k27only_k562_multimodal.ABC.Score	K562_ATAC_only.ABC.Score	0.492788	0.468009	0.024779	-0.003414	0.051817	0.9535	95.35	10342	466	2000
pred_k562_multimodal.ABC.Score	K562_ATAC_only.ABC.Score	0.480142	0.468009	0.012133	-0.005318	0.028499	0.9105	91.05	10342	466	2000
K562_ATAC_H3K27ac_element.ABC.Score	K562_ATAC_only.ABC.Score	0.529646	0.468009	0.061637	0.043748	0.080399	1.0	100.0	10342	466	2000
k27only_k562_multimodal.ABC.Score	K562_ATAC_H3K27ac_element.ABC.Score	0.492788	0.529646	-0.036858	-0.061845	-0.013381	0.999	99.9	10342	466	2000
pred_gm12878_multimodal.ABC.Score	K562_ATAC_only.ABC.Score	0.4632	0.468009	-0.004808	-0.02157	0.01104	0.727	72.7	10342	466	2000
pred_gm12878_atac.ABC.Score	K562_ATAC_only.ABC.Score	0.465194	0.468009	-0.002815	-0.013153	0.007812	0.732	73.2	10342	466	2000
