motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	+-	9	0.2548	0.0207	0.0093	0.1176	0.0112	0.005	5.1861	0.1679	0.0751
2	+-	10	0.2473	0.012	0.0054	0.1101	0.014	0.0063	5.181	0.1623	0.0726
2	+-	11	0.2541	0.025	0.0112	0.1169	0.0168	0.0075	5.1857	0.1666	0.0745
2	+-	12	0.2511	0.0191	0.0085	0.1139	0.0134	0.006	5.1836	0.1679	0.0751
2	+-	13	0.2754	0.0252	0.0113	0.1382	0.0199	0.0089	5.2004	0.1629	0.0729
2	+-	14	0.2656	0.0208	0.0093	0.1284	0.0113	0.0051	5.1936	0.1739	0.0778
2	+-	15	0.271	0.0236	0.0106	0.1338	0.0204	0.0091	5.1974	0.1654	0.074
2	+-	16	0.2627	0.0216	0.0097	0.1255	0.0142	0.0064	5.1916	0.1719	0.0769
2	+-	17	0.2692	0.0205	0.0091	0.132	0.0154	0.0069	5.1961	0.1654	0.074
2	+-	18	0.2875	0.0232	0.0104	0.1503	0.0099	0.0044	5.2088	0.174	0.0778
2	+-	19	0.2902	0.0217	0.0097	0.153	0.0116	0.0052	5.2107	0.1681	0.0752
2	+-	20	0.2894	0.0235	0.0105	0.1522	0.0128	0.0057	5.2102	0.176	0.0787
2	+-	21	0.3011	0.0228	0.0102	0.1639	0.0118	0.0053	5.2182	0.1692	0.0757
2	+-	22	0.2924	0.0276	0.0124	0.1552	0.0139	0.0062	5.2122	0.1782	0.0797
2	+-	23	0.2976	0.0247	0.0111	0.1604	0.0117	0.0052	5.2158	0.1719	0.0769
2	+-	24	0.296	0.0298	0.0133	0.1588	0.0174	0.0078	5.2147	0.1805	0.0807
2	+-	25	0.3139	0.0239	0.0107	0.1767	0.0165	0.0074	5.2271	0.1721	0.077
2	+-	26	0.3102	0.0295	0.0132	0.173	0.0201	0.009	5.2245	0.1805	0.0807
2	+-	27	0.2982	0.0232	0.0104	0.161	0.0157	0.007	5.2163	0.1703	0.0762
