motif1_name	motif2_name	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	mean_prediction_mean	mean_prediction_std	n_sequences_first
AP1_2	AP1_2	++	0	0.7113055566501929	0.04569021636095203	0.02043328593795236	2.079194927215576	0.0929983235456842	1000
AP1_2	AP1_2	++	9	0.72542097252583	0.05975938093835949	0.026725207614295397	2.088978981971741	0.08304155778050971	1000
AP1_2	AP1_2	++	18	0.5984384937693249	0.04038535168675825	0.018060878333365445	2.000961494445801	0.1141247951183086	1000
AP1_2	AP1_2	++	27	0.6494507579922975	0.04208126653843038	0.01881931451184352	2.036320447921753	0.11035167806352345	1000
AP1_2	AP1_2	++	36	0.5946031946637589	0.03893880555182737	0.017413963235306442	1.998303198814392	0.11798026811517483	1000
AP1_2	AP1_2	+-	0	0.7261372716675412	0.09506179648778958	0.04251292780198965	2.0894756078720094	0.12301804728844905	1000
AP1_2	AP1_2	+-	9	0.7311227563455475	0.053793460746170384	0.024057166994680707	2.092931342124939	0.08597578851066197	1000
AP1_2	AP1_2	+-	18	0.5969159485595015	0.03802960846186833	0.01700735793568776	1.9999061822891235	0.1136626500830168	1000
AP1_2	AP1_2	+-	27	0.6527909018477644	0.04341243998495037	0.019414633375095792	2.038635802268982	0.11312427119942083	1000
AP1_2	AP1_2	+-	36	0.5938617946541542	0.04192917856622022	0.018751298702959114	1.997789192199707	0.11738726347146936	1000
AP1_2	AP1_2	-+	0	0.7076308205474723	0.07276040511702744	0.03253944238241938	2.0766477823257445	0.08106605125752218	1000
AP1_2	AP1_2	-+	9	0.7206406287537728	0.0643956676364933	0.02879861805833645	2.0856656074523925	0.07961362971039182	1000
AP1_2	AP1_2	-+	18	0.5994687988349813	0.043356438731626715	0.01938958885324442	2.0016757011413575	0.11463417953217775	1000
AP1_2	AP1_2	-+	27	0.6466308014617628	0.03929181876925533	0.01757183554553141	2.0343658447265627	0.11021407221977045	1000
AP1_2	AP1_2	-+	36	0.5943696164264896	0.03731464434427613	0.0166876162620059	1.9981411457061768	0.11791182116894099	1000
AP1_2	AP1_2	--	0	0.7111298505749388	0.046899375422552715	0.02097403830942216	2.079073190689087	0.09316306888289475	1000
AP1_2	AP1_2	--	9	0.7261400061916898	0.058656973484812476	0.026232196013288682	2.0894774436950683	0.08371529173048811	1000
AP1_2	AP1_2	--	18	0.5984079668487967	0.041636823659993535	0.018620553614183428	2.0009403944015505	0.11491963609965464	1000
AP1_2	AP1_2	--	27	0.6489708232067998	0.04116917738566069	0.018411415842416876	2.035987877845764	0.11319834455080519	1000
AP1_2	AP1_2	--	36	0.5938841180022363	0.03993552298750986	0.017859708823415504	1.9978047132492065	0.11725436880447862	1000
AP1_2	CREB_ATF_1	++	0	0.4334059198018586	0.03341275595701783	0.01494263872710058	1.8865696668624878	0.10130540251475066	1000
AP1_2	CREB_ATF_1	++	9	0.4248204426811967	0.02114800777405159	0.009457676594294672	1.8806186676025392	0.11267721728569619	1000
AP1_2	CREB_ATF_1	++	18	0.4199638418017469	0.032810353188104116	0.01467323601887555	1.877252221107483	0.12239315364322727	1000
AP1_2	CREB_ATF_1	++	27	0.4120249334570037	0.03208079914746733	0.014346969533250849	1.8717494487762452	0.12049082604002478	1000
AP1_2	CREB_ATF_1	++	36	0.44964674027252116	0.02637738959767011	0.011796327241877238	1.897826886177063	0.11832438742043344	1000
AP1_2	CREB_ATF_1	+-	0	0.4334059198018586	0.03341275595701783	0.01494263872710058	1.8865696668624878	0.10130540251475066	1000
AP1_2	CREB_ATF_1	+-	9	0.4248204426811967	0.02114800777405159	0.009457676594294672	1.8806186676025392	0.11267721728569619	1000
AP1_2	CREB_ATF_1	+-	18	0.4199638418017469	0.032810353188104116	0.01467323601887555	1.877252221107483	0.12239315364322727	1000
AP1_2	CREB_ATF_1	+-	27	0.4120249334570037	0.03208079914746733	0.014346969533250849	1.8717494487762452	0.12049082604002478	1000
AP1_2	CREB_ATF_1	+-	36	0.44964674027252116	0.02637738959767011	0.011796327241877238	1.897826886177063	0.11832438742043344	1000
AP1_2	CREB_ATF_1	-+	0	0.456230038367501	0.024142404872130332	0.010796811686881107	1.9023900985717774	0.09442534841182605	1000
AP1_2	CREB_ATF_1	-+	9	0.4158876551962498	0.01872826406227402	0.008375534308762212	1.874426817893982	0.10526046391501977	1000
AP1_2	CREB_ATF_1	-+	18	0.41941035863560766	0.03153970317438812	0.014104984057619546	1.8768686532974244	0.12154077034243818	1000
AP1_2	CREB_ATF_1	-+	27	0.41312712727072076	0.030523172236372	0.013650377601892413	1.8725134134292603	0.11958455150274032	1000
AP1_2	CREB_ATF_1	-+	36	0.4490485588154226	0.026711415029675736	0.011945707956312902	1.8974122762680055	0.11853754430533803	1000
AP1_2	CREB_ATF_1	--	0	0.456230038367501	0.024142404872130332	0.010796811686881107	1.9023900985717774	0.09442534841182605	1000
AP1_2	CREB_ATF_1	--	9	0.4158876551962498	0.01872826406227402	0.008375534308762212	1.874426817893982	0.10526046391501977	1000
AP1_2	CREB_ATF_1	--	18	0.41941035863560766	0.03153970317438812	0.014104984057619546	1.8768686532974244	0.12154077034243818	1000
AP1_2	CREB_ATF_1	--	27	0.41312712727072076	0.030523172236372	0.013650377601892413	1.8725134134292603	0.11958455150274032	1000
